"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JINDRILL","EQ","17-Feb-2022","        199.20","        202.00","        206.65","        195.80","        197.00","        196.90","        200.03","     144637","            28931429.10","       3359","      46344","         32.04"
"JINDRILL","EQ","18-Feb-2022","        196.90","        197.00","        201.75","        190.55","        191.00","        192.20","        196.09","      97723","            19162982.90","       2605","      45035","         46.08"
"JINDRILL","EQ","21-Feb-2022","        192.20","        190.00","        192.95","        181.00","        183.95","        182.80","        186.17","     145178","            27027644.90","       2848","      89120","         61.39"
"JINDRILL","EQ","22-Feb-2022","        182.80","        178.00","        187.95","        176.25","        179.65","        179.35","        180.83","     202217","            36567858.05","       7337","      64809","         32.05"
"JINDRILL","EQ","23-Feb-2022","        179.35","        183.60","        189.70","        183.35","        187.00","        185.70","        186.99","     108586","            20304290.50","       2807","      43870","         40.40"
"JINDRILL","EQ","24-Feb-2022","        185.70","        180.00","        181.85","        172.00","        174.00","        173.85","        176.84","     221962","            39251322.65","       5342","     105120","         47.36"
"JINDRILL","EQ","25-Feb-2022","        173.85","        180.00","        185.70","        178.00","        182.00","        181.50","        181.99","     121346","            22083991.85","       2828","      45736","         37.69"
"JINDRILL","EQ","28-Feb-2022","        181.50","        181.05","        193.70","        178.00","        189.85","        190.35","        188.00","     190252","            35767371.65","       4392","      50564","         26.58"
"JINDRILL","EQ","02-Mar-2022","        190.35","        190.85","        201.70","        187.00","        196.10","        198.00","        197.84","     337280","            66728723.20","       7381","     108443","         32.15"
"JINDRILL","EQ","03-Mar-2022","        198.00","        204.80","        204.80","        194.00","        194.80","        195.85","        198.68","     150798","            29960863.10","       3504","      65687","         43.56"
"JINDRILL","EQ","04-Mar-2022","        195.85","        194.80","        198.90","        188.65","        189.15","        190.35","        193.39","     132370","            25598861.10","       3199","      47961","         36.23"
"JINDRILL","EQ","07-Mar-2022","        190.35","        192.00","        198.90","        187.00","        190.60","        191.25","        194.27","     201676","            39180148.30","       3745","      78956","         39.15"
"JINDRILL","EQ","08-Mar-2022","        191.25","        194.50","        201.35","        192.00","        197.00","        196.65","        196.70","     157316","            30944460.45","       4212","      45017","         28.62"
"JINDRILL","EQ","09-Mar-2022","        196.65","        201.00","        204.45","        193.90","        196.90","        196.05","        198.32","     108659","            21549703.45","       3073","      39736","         36.57"
"JINDRILL","EQ","10-Mar-2022","        196.05","        196.00","        202.95","        195.30","        197.10","        198.25","        198.61","     139602","            27727024.15","       3163","      49464","         35.43"
"JINDRILL","EQ","11-Mar-2022","        198.25","        202.95","        218.05","        198.55","        218.05","        218.05","        213.13","     493410","           105159490.55","       8111","     271004","         54.92"
"JINDRILL","EQ","14-Mar-2022","        218.05","        226.40","        236.50","        222.00","        222.00","        224.05","        229.83","     841140","           193323160.40","      34781","     313155","         37.23"
"JINDRILL","EQ","15-Mar-2022","        224.05","        228.80","        228.80","        212.00","        218.00","        217.85","        218.31","     216162","            47190972.50","       8997","     101103","         46.77"
"JINDRILL","EQ","16-Mar-2022","        217.85","        224.95","        225.00","        218.30","        220.00","        222.75","        222.03","     167332","            37152124.65","       5853","      71890","         42.96"
"JINDRILL","EQ","17-Mar-2022","        222.75","        225.80","        226.00","        217.00","        217.00","        218.80","        221.28","     110042","            24349920.15","       2596","      67324","         61.18"
"JINDRILL","EQ","21-Mar-2022","        218.80","        223.00","        240.65","        222.30","        240.65","        240.65","        238.14","     549243","           130798086.80","       6029","     241107","         43.90"
"JINDRILL","EQ","22-Mar-2022","        240.65","        246.95","        264.70","        242.05","        264.70","        264.70","        257.70","    1190425","           306775042.90","      32561","     383894","         32.25"
"JINDRILL","EQ","23-Mar-2022","        264.70","        270.90","        270.90","        252.00","        254.20","        253.80","        259.98","     808319","           210143807.35","      21145","     306978","         37.98"
"JINDRILL","EQ","24-Mar-2022","        253.80","        261.00","        265.00","        251.00","        253.00","        253.05","        257.67","     271496","            69955280.15","       8387","     140198","         51.64"
